location_id;location_name;locality;sensor_id;parameter;value;datetime
"5193";"SK0031A";"Prešovský kraj";"13492";"pm10";"28.399";"2024-01-29T20:00:00+01:00"
"5193";"SK0031A";"Prešovský kraj";"13494";"pm25";"22.448";"2024-01-29T20:00:00+01:00"
"5193";"SK0031A";"Prešovský kraj";"13395";"so2";"4.24855";"2024-01-29T20:00:00+01:00"
"5196";"SK0006R";"Prešovský kraj";"13410";"no2";"2.2162";"2024-01-29T20:00:00+01:00"
"5196";"SK0006R";"Prešovský kraj";"13408";"o3";"48.252";"2024-01-29T20:00:00+01:00"
"5209";"SK0406A";"Prešovský kraj";"13461";"pm10";"3.4887";"2024-01-29T09:00:00+01:00"
"5209";"SK0406A";"Prešovský kraj";"13462";"pm25";"1.507";"2024-01-29T09:00:00+01:00"
"5214";"SK0030A";"Košický kraj";"13485";"pm10";"35.63";"2024-01-29T20:00:00+01:00"
"5214";"SK0030A";"Košický kraj";"13490";"pm25";"27.233";"2024-01-29T20:00:00+01:00"
"5216";"SK0037A";"Prešovský kraj";"13496";"no2";"14.5411";"2024-01-29T20:00:00+01:00"
"5216";"SK0037A";"Prešovský kraj";"13498";"o3";"35.68";"2024-01-29T20:00:00+01:00"
"5216";"SK0037A";"Prešovský kraj";"13499";"pm10";"31.96";"2024-01-29T20:00:00+01:00"
"5216";"SK0037A";"Prešovský kraj";"13501";"pm25";"23.327";"2024-01-29T20:00:00+01:00"
"2163378";"""Trebisov  - T. G. Masaryka""";"Trebisov";"7775216";"no2";"20.6114";"2025-04-09T08:00:00+02:00"
"2163378";"""Trebisov  - T. G. Masaryka""";"Trebisov";"7774941";"o3";"54.074";"2025-04-09T08:00:00+02:00"
"2163378";"""Trebisov  - T. G. Masaryka""";"Trebisov";"7774220";"pm10";"16.928";"2025-04-09T08:00:00+02:00"
"2163378";"""Trebisov  - T. G. Masaryka""";"Trebisov";"7775977";"pm25";"8.1207";"2025-04-09T08:00:00+02:00"
"2163379";"""Strazske - Mierova""";"Strazske";"7773986";"pm10";"25.206";"2025-04-09T08:00:00+02:00"
"2163379";"""Strazske - Mierova""";"Strazske";"7773669";"pm25";"19.28";"2025-04-09T08:00:00+02:00"
"2163380";"""Humenne - Nam. slobody""";"Humenne";"7775053";"no2";"7.46139";"2025-04-09T07:00:00+02:00"
"2163380";"""Humenne - Nam. slobody""";"Humenne";"7775811";"o3";"36.394";"2025-04-09T08:00:00+02:00"
"2163380";"""Humenne - Nam. slobody""";"Humenne";"7774441";"pm10";"20.472";"2025-04-09T08:00:00+02:00"
"2163380";"""Humenne - Nam. slobody""";"Humenne";"7773698";"pm25";"14.834";"2025-04-09T08:00:00+02:00"
"2163381";"""Vranov nad Toplou - M. R. Stefanika""";"Vranov nad Topou";"7775387";"pm10";"27.039";"2025-04-09T08:00:00+02:00"
"2163381";"""Vranov nad Toplou - M. R. Stefanika""";"Vranov nad Topou";"7774779";"pm25";"16.694";"2025-04-09T08:00:00+02:00"
"2163381";"""Vranov nad Toplou - M. R. Stefanika""";"Vranov nad Topou";"7772900";"so2";"3.00208";"2025-04-08T12:00:00+02:00"
"2163393";"""Starina - Vodna nadr. EMEP/O3""";"Starina";"7773605";"no2";"1.48295";"2025-04-09T07:00:00+02:00"
"2163393";"""Starina - Vodna nadr. EMEP/O3""";"Starina";"7774421";"o3";"38.694";"2025-04-09T08:00:00+02:00"
"2163394";"""Kolonicke sedlo""";"Kolonicke sedlo";"7774937";"pm10";"7.234";"2025-04-09T08:00:00+02:00"
"2163394";"""Kolonicke sedlo""";"Kolonicke sedlo";"7775939";"pm25";"10.054";"2025-04-09T08:00:00+02:00"
"7244";"Nowy Targ, Plac Słowackiego";"";"20860";"bc";"0.41666";"2019-12-31T23:00:00+01:00"
"7244";"Nowy Targ, Plac Słowackiego";"";"28296";"pm10";"78.9368";"2021-12-06T09:00:00+01:00"
"7244";"Nowy Targ, Plac Słowackiego";"";"35385";"so2";"14.8555";"2021-12-06T10:00:00+01:00"
"270770";"Nowy Targ, al. Tysiąclecia ";"Nowy Targ";"1562177";"pm10";"37.3";"2025-04-09T08:00:00+02:00"
"270770";"Nowy Targ, al. Tysiąclecia ";"Nowy Targ";"1562178";"so2";"8.8";"2025-04-09T09:00:00+02:00"
"4438";"Bily Kriz";"Staré Hamry";"4706546";"no";"0.5";"2024-03-11T11:00:00+01:00"
"4438";"Bily Kriz";"Staré Hamry";"11001";"no2";"4.6";"2025-04-08T22:00:00+02:00"
"4438";"Bily Kriz";"Staré Hamry";"11000";"o3";"87.4";"2025-04-09T05:00:00+02:00"
"4438";"Bily Kriz";"Staré Hamry";"10972";"so2";"1.3";"2025-04-08T22:00:00+02:00"
"2163352";"""Oscadnica""";"Oscadnica";"7773580";"no2";"17.264";"2025-04-09T08:00:00+02:00"
"2163352";"""Oscadnica""";"Oscadnica";"7774516";"o3";"19.306";"2025-04-09T08:00:00+02:00"
"2163352";"""Oscadnica""";"Oscadnica";"7774029";"pm10";"23.291";"2025-04-09T08:00:00+02:00"
"2163352";"""Oscadnica""";"Oscadnica";"7775917";"pm25";"17.598";"2025-04-09T08:00:00+02:00"
