uid;uid_prefixed;name
13830;@13830;T. G. Masaryka, Trebisov, Slovakia
3109;@3109;Jeseniova, Bratislava, Slovakia
13832;@13832;Boldocka, Senec, Slovakia
-475054;A475054;Strazske, Mierova
11708;@11708;Hranice, Olomoucky, Czech Republic
-470773;A470773;Roznov pod Radhostem, Zlinsky
3341;@3341;Esztergom, Esztergom, Hungary
13824;@13824;Vnutorna okruzna, Komarno, Slovakia
3123;@3123;Mierova, Strazske, Slovakia
3130;@3130;EMEP, Vodna nadrz, Starina, Slovakia
3127;@3127;EMEP, AU SAV, Stara Lesna, Slovakia
3136;@3136;EMEP, Aszod, Topolniky, Slovakia
13831;@13831;Vinarska, Sereď, Slovakia
3107;@3107;Kamenne nam., Bratislava, Slovakia
3122;@3122;Letna, Velka Ida, Slovakia
3351;@3351;Kazincbarcika, Kazincbarcika, Hungary
3121;@3121;Kojsovska Hola, Slovakia
3114;@3114;Stefanikovo nabrezie, Banska Bystrica, Slovakia
3118;@3118;J. Alexyho, Zvolen, Slovakia
3133;@3133;Morovianska cesta, Handlova, Slovakia
2788;@2788;Prerov, Olomoucky, Czech Republic
13828;@13828;1. maja, Puchov, Slovakia
5740;@5740;Otrokovice-mesto, Zlinsky, Czech Republic
3126;@3126;Nam. slobody, Humenne, Slovakia
3349;@3349;Eger 2 Malomárok u., Eger, Hungary
3115;@3115;Zelena, Banska Bystrica, Slovakia
3141;@3141;Riadok, Ruzomberok, Slovakia
3119;@3119;Jilemnickeho, Ziar nad Hronom, Slovakia
3140;@3140;Jesenskeho, Martin, Slovakia
14161;@14161;Oscadnica, Slovakia
-363595;A363595;Oleksandra Khiry Street
3112;@3112;Dumbierska, Kosice, Slovakia
3131;@3131;M.R.Stefanika, Vranov nad Top., Slovakia
3357;@3357;Sajószentpéter, Sajószentpéter, Hungary
3144;@3144;SNP, Krompachy, Slovakia
2827;@2827;Brunnenfeld, Austria
14159;@14159;Senicka, Rohoznik, Slovakia
3380;@3380;Nyíregyháza, Nyíregyháza, Hungary
3129;@3129;Arm.gen. L. Svobodu, Presov, Slovakia
3143;@3143;Obezna, Zilina, Slovakia
2792;@2792;Zlin, Zlinsky, Czech Republic
8722;@8722;Valasske Mezirici, Zlinsky, Czech Republic
-509926;A509926;Rovinka
3350;@3350;Hernádszurdok, Hernádszurdok, Hungary
14677;@14677;Nyírjes, Gyongyossolymos, Hungary
3128;@3128;Meteo. st, Ganovce, Slovakia
9577;@9577;Rymanów-Zdrój, Poland
2790;@2790;Stitna n.Vlari, Zlinsky, Czech Republic
3117;@3117;Hlavna, Hnusta, Slovakia
13823;@13823;Puchovska, Bratislava, Slovakia
8041;@8041;Dorog, Dorog, Hungary
3355;@3355;Oszlár, Oszlár, Hungary
3124;@3124;Janikovce, Nitra, Slovakia
3344;@3344;Mosonmagyaróvár, Mosonmagyaróvár, Hungary
-471457;A471457;Velka Bystrice, Olomoucky
3366;@3366;Vác, Csányi krt., Vác, Hungary
3142;@3142;Kolonicke sedlo, Slovakia
8649;@8649;Miskolc Alföldi, Miskolc, Hungary
3139;@3139;EMEP, Chopok, Slovakia
3135;@3135;Hasicska, Trencin, Slovakia
3134;@3134;Malonecpalska, Prievidza, Slovakia
-348502;A348502;Frantisheka Tykhoho Street
3108;@3108;Trnavske Myto, Bratislava, Slovakia
14158;@14158;Pezinok, Slovakia
3125;@3125;Sturova, Nitra, Slovakia
3356;@3356;Putnok, Putnok, Hungary
3874;@3874;Salgótarján, Salgótarján, Hungary
3116;@3116;Jesenskeho, Jelsava, Slovakia
13822;@13822;Pod Vinbargom, Bardejov, Slovakia
14162;@14162;Skolska, Liptovsky Mikulas, Slovakia
3137;@3137;Hviezdoslavova, Senica, Slovakia
8721;@8721;Tesnovice, Zlinsky, Czech Republic
-478879;A478879;Precin
-509932;A509932;Pod. Biskupice, Bratislava
3352;@3352;Miskolc Búza tér, Miskolc, Hungary
3138;@3138;Kollarova, Trnava, Slovakia
2791;@2791;Uherske Hradiste, Zlinsky, Czech Republic
-472783;A472783;Kolonicke sedlo
-509923;A509923;Vlčie Hrdlo, Bratislava
-509929;A509929;Trnovec nad Váhom
-508066;A508066;Brňov
3111;@3111;Amurska, Kosice, Slovakia
3113;@3113;Stefanikova, Kosice, Slovakia
13827;@13827;Zeleznicna, Poprad, Slovakia
3405;@3405;Zakopane, Małopolska, Poland
14160;@14160;Gemerska cesta, Lucenec, Slovakia
3132;@3132;Rozvodna SSE, Bystricany, Slovakia
13826;@13826;Plasťovce, Slovakia
4729;@4729;Parkplatz Bezirkskrankenhaus, Florianistraße, Austria
3110;@3110;Mamateyova, Bratislava, Slovakia
2789;@2789;Prostejov, Olomoucky, Czech Republic
-470296;A470296;Zarnovica
3353;@3353;Miskolc Lavotta, Miskolc, Hungary
7991;@7991;Hodonin, Jihomoravsky, Czech Republic
2793;@2793;Bily Kriz, Moravskoslezsky, Czech Republic
8715;@8715;Belotin, Olomoucky, Czech Republic
7995;@7995;Olomouc-Smeralova, Olomoucky, Czech Republic
-362128;A362128;Plánková
